monthyear,Aufnahme möglich,keine Angabe,keine Aufnahme möglich
2022-01,0.266790415119811,0.019743503206209923,0.7134660816739791
2022-02,0.22876536415336635,0.013208585580627407,0.7580260502660062
2022-03,0.21003134796238246,0.009569377990430622,0.7803992740471869
2022-04,0.17755102040816326,0.007312925170068027,0.8151360544217687
2022-05,0.17906517445687953,0.00510204081632653,0.815832784726794
2022-06,0.11921768707482994,0.010714285714285714,0.8700680272108844
2022-07,0.1261736122549827,0.014659858342941855,0.8591665294020754
2022-08,0.09722222222222222,0.004794973544973545,0.8979828042328042
2022-09,0.10092055915444936,0.0011933174224343676,0.8978861234231162
2022-10,0.11568335812262436,0.007106263427532639,0.877210378449843
2022-11,0.11948717948717949,0.01658119658119658,0.8639316239316239
2022-12,0.09370882740447958,0.01202239789196311,0.8942687747035574
2023-01,0.11339697169190256,0.01119157340355497,0.8754114549045424
2023-02,0.12190233236151604,0.007106413994169096,0.8709912536443148
2023-03,0.10138248847926268,0.005595786701777485,0.8930217248189598
2023-04,0.09967681578499744,0.01751998639224358,0.882803197822759
2023-05,0.11668861092824226,0.024522712310730745,0.858788676761027
2023-06,0.12585034013605442,0.03163265306122449,0.8425170068027211
